ccode,country_code,GPCP_g,GPCP_g_l,any_prio,lpopl1,lmtnest,Oil,ethfrac,relfrac,polity2l,gdp_g,gdp_g_l,y_0,Iccyear1,Iccyear2,Iccyear3,Iccyear4,Iccyear5,Iccyear6,Iccyear7,Iccyear8,Iccyear9,Iccyear10,Iccyear11,Iccyear12,Iccyear13,Iccyear14,Iccyear15,Iccyear16,Iccyear17,Iccyear18,Iccyear19,Iccyear20,Iccyear21,Iccyear22,Iccyear23,Iccyear24,Iccyear25,Iccyear26,Iccyear27,Iccyear28,Iccyear29,Iccyear30,Iccyear31,Iccyear32,Iccyear33,Iccyear34,Iccyear35,Iccyear36,Iccyear37,Iccyear38,Iccyear39,Iccyear40,Iccyear41
571,BWA,.031976711,.20698564,0,6.8046145,0,0,.50639182,.5,9,.017010305,.11815564,1.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
571,BWA,-.27932394,.031976711,0,6.8394766,0,0,.50639182,.5,9,.003547881,.017010305,1.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
571,BWA,.057234611,-.27932394,0,6.8741984,0,0,.50639182,.5,9,-.054040398,.003547881,1.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
571,BWA,-.20282876,.057234611,0,6.9097533,0,0,.50639182,.5,9,.039508808,-.054040398,1.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
571,BWA,.14675282,-.20282876,0,6.9450512,0,0,.50639182,.5,9,.2003081,.039508808,1.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
571,BWA,.11736344,.14675282,0,6.9800758,0,0,.50639182,.5,9,.1390672,.2003081,1.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
571,BWA,-.20743881,.11736344,0,7.0157123,0,0,.50639182,.5,9,-.1709241,.1390672,1.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
571,BWA,.82032686,-.20743881,0,7.0501227,0,0,.50639182,.5,9,.091980092,-.1709241,1.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
571,BWA,-.14055282,.82032686,0,7.0850644,0,0,.50639182,.5,9,-.087966859,.091980092,1.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
571,BWA,-.33362722,-.14055282,0,7.1188264,0,0,.50639182,.5,9,.039055414,-.087966859,1.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
