zone,hhsex,AREAH,PRODQ,OWNTYPE1,EXT1,IRRG,FERT,D21B,woreda_id,id
18,Male,.81589,284.46012,Owner,No,No,No,0,227,757
3,Male,.001551,.14365,Owner,No,No,No,0,35,758
6,Male,.014643,.33386,Owner,No,No,No,0,90,759
1,Male,.083811,.527168,Owner,No,No,No,0,2,760
1,Male,.014152,.089016,Owner,No,No,No,0,2,761
9,Female,.126222,0,Owner,No,No,No,0,141,762
9,Male,.106451,0,Owner,No,No,Yes,0,141,763
14,Male,.192547,6.565860000000001,Owner,No,No,No,0,206,764
10,Male,.048803,.6344299999999999,Owner,Yes,Yes,Yes,1,153,765
2,Female,.003228,.041091,Owner,No,No,No,0,19,766
4,Male,.016534,.10912,Owner,No,No,No,0,55,767
4,Male,.134064,1.12614,Owner,No,No,No,0,55,768
14,Male,.141813,4.3962,Owner,No,No,Yes,50.999,206,769
17,Male,.009059,0,Owner,No,No,Yes,0,216,770
18,Male,.22207,4.70788,Owner,No,No,No,0,227,771
5,Male,.077482,0,Owner,No,No,No,0,71,772
8,Male,.005966,.3409449999999999,Owner,No,No,No,0,117,773
14,Male,.355262,7.477909899999999,Owner,No,No,No,0,206,774
14,Male,.01463,0,Owner,No,No,No,0,206,775
5,Male,.05191,.35299,Owner,No,Yes,No,0,71,776
6,Male,.187952,2.04868,Owner,No,No,No,0,90,777
3,Male,.023425,.1971955,Owner,No,No,No,0,35,778
13,Female,.760298,16.11832,Owner,No,No,Yes,4.8,194,779
3,Male,.002538,0,Owner,No,No,No,0,35,780
10,Male,.026726,2.497799,Owner,No,Yes,Yes,5,153,781
13,Male,.000828,.056841,Owner,No,No,Yes,0,194,782
13,Male,.000552,.037877,Owner,No,No,No,0,194,783
7,Male,.070132,0,Owner,No,No,No,0,106,784
18,Male,.34981,12.73307,Owner,No,No,No,0,227,785
1,Male,.013071,.975495,Owner,No,No,No,0,2,786
8,Male,.061042,.52496,Owner,No,No,Yes,0,117,787
6,Male,.348859,2.51179,Rent,No,No,No,0,90,788
7,Male,.039471,0,Owner,No,No,Yes,0,106,789
7,Male,.223989,1.38873,Owner,No,No,No,0,106,790
18,Male,.124539,2.64022,Owner,No,No,No,0,227,791
13,Male,.5242520000000001,11.11414,Owner,No,No,Yes,50,194,792
3,Male,.063324,.99419,Owner,No,No,No,0,35,793
1,Male,.058523,4.986117,Rent,No,No,No,0,2,794
13,Female,.008101,0,Owner,No,No,Yes,20,194,795
18,Male,.013034,0,Owner,No,No,No,0,227,796
7,Male,.20383,1.26375,Rent,No,No,No,0,106,797
2,Female,.008709,0,Owner,No,No,Yes,0,19,798
7,Male,.218284,1.35336,Owner,No,No,No,0,106,799
7,Male,.006908,0,Owner,No,No,No,0,106,800
1,Male,.003704,0,Owner,No,Yes,Yes,0,2,801
5,Male,.033887,.39648,Owner,No,No,Yes,0,71,802
1,Male,.006032,.480811,Owner,No,No,No,0,2,803
1,Male,.011393,0,Owner,No,No,No,0,2,804
18,Male,.213438,0,Owner,No,No,No,0,227,805
3,Male,.005923,.0231,Owner,No,No,Yes,0,35,806
18,Male,.222505,3.87159,Owner,No,No,No,0,227,807
5,Male,.07264,1.32931,Owner,No,No,No,0,71,808
13,Male,.002037,.199634,Owner,No,Yes,Yes,0,194,809
17,Female,.084473,6.287306,Owner,No,No,Yes,1,216,810
5,Female,.349998,4.09497,Owner,No,Yes,Yes,0,71,811
9,Female,.004644,0,Owner,No,No,Yes,0,141,812
9,Female,.066081,1.22911,Owner,No,No,No,0,141,813
13,Male,.003229,.336819,Owner,No,No,Yes,38.4,194,814
4,Male,.000517,.043623,Owner,No,No,No,0,55,815
4,Male,.439548,3.424075,Owner,No,No,No,0,55,816
7,Male,.036374,0,Rent,No,No,No,0,106,817
1,Male,.068629,0,Owner,No,No,No,0,2,818
10,Male,.043425,.442932,Owner,No,No,Yes,0,153,819
1,Male,.04598,0,Owner,No,No,Yes,0,2,820
8,Male,.056617,1.14366,Owner,No,No,No,0,117,821
3,Male,.023638,.1989829,Owner,No,No,Yes,0,35,822
3,Male,.011339,3.111756,Owner,No,No,No,0,35,823
13,Male,.039143,3.758119,Owner,No,No,Yes,20,194,824
5,Male,.017056,1.922071,Owner,No,Yes,No,0,71,825
1,Male,.057946,0,Owner,No,No,No,0,2,826
1,Male,.053863,1.50276,Owner,No,No,No,0,2,827
18,Male,.003674,.0279603,Owner,No,No,No,0,227,828
5,Female,.057152,0,Rent,No,No,No,0,71,829
1,Male,.00872,0,Owner,No,No,No,0,2,830
5,Male,.000563,0,Owner,No,No,No,0,71,831
14,Male,.940156,26.5124,Owner,No,No,No,0,206,832
1,Male,.02605,.2058,Owner,No,Yes,No,0,2,833
10,Female,.21146,2.156891,Owner,No,No,No,0,153,834
2,Female,.004164,.148816,Owner,No,No,Yes,1.86,19,835
17,Female,.100457,7.476988,Owner,No,No,Yes,0,216,836
1,Male,.077629,.45801,Owner,No,No,Yes,7.5,2,837
7,Male,.168427,1.86954,Owner,No,No,Yes,0,106,838
3,Male,.000601,.047461,Owner,No,No,No,0,35,839
3,Male,.007898,.01658,Rent,No,No,No,0,35,840
3,Male,.31703,0,Owner,No,No,No,0,35,841
4,Male,.065085,.44258,Owner,No,No,Yes,0,55,842
5,Male,.078713,1.31451,Owner,No,No,No,0,71,843
2,Male,.082479,0,Owner,No,No,Yes,50,19,844
3,Male,.021435,7.648513,Owner,No,No,No,0,35,845
13,Female,.010448,0,Owner,No,No,Yes,4.48,194,846
7,Male,.992919,0,Owner,No,No,No,0,106,847
