country;year1960;year1961;year1962;region
Tonga;12031;11436,02777;12145,43816;asia
Trinidad and Tobago;145840;143416,4195;139998,2732;america
Tunisia;1582763;1623416,356;1670546,17;africa
Turkey;8893395;9262782,807;9660491,399;europe
Turkmenistan;739384;768157,0606;798015,8809;asia
Turks and Caicos Islands;no data;2766,04416;2786,745204;asia
Tuvalu;no data;1028,344532;1089,933922;oceania
Uganda;298643;324794,2733;351452,203;africa
Ukraine;20022449;20602580,89;21193450,63;europe
United Arab Emirates;66322;72406,23939;81002,90999;asia
United Kingdom;41060432;41352643,2;41638731;europe
United States;126469700;129268132,7;131974142,7;america
Uruguay;2035321;2068693,278;2100246,816;america
Uzbekistan;2909890;3037531,688;3174626,548;asia
Vanuatu;6638;6957,92601;7305,41844;oceania
Venezuela;4668605;4923222,021;5198138,569;america
Vietnam;5107221;5329816,33;5558754,687;asia
Virgin Islands (U.S.);18080;19722,5534;21488,8014;oceania
Yemen;475203;494623,5862;524818,5449;asia
Zambia;551011;601586,6082;653480,5578;africa
Zimbabwe;472675;504363,2481;537348,4222;africa
South Sudan;no data;287795,7993;292120,8744;africa
